,Network,Sample Size,Epochs,Burn in,sample interval,Temperature,Test Accuracy,Test ECE,Test AUROC,Posterior mean,Posterior var
0,FCNN,3750,1600.0,320.0,64.0,0.001,0.8987,0.13478176,0.9906298919723913,tensor(0.0025),tensor(0.0004)
1,FCNN,15000,400.0,80.0,16.0,0.001,0.9485,0.2067818,0.9971557116385504,tensor(0.0017),tensor(0.0007)
2,FCNN,60000,100.0,20.0,4.0,0.001,0.9793,0.032796293,0.9996486245325578,tensor(0.0004),tensor(0.0014)
3,FCNN,120000,50.0,10.0,2.0,0.001,0.9755,0.16365351,0.9991962839919438,tensor(-0.0015),tensor(0.0021)
4,FCNN,3750,1600.0,320.0,64.0,0.01,0.8979,0.13576077,0.9914456466927831,tensor(0.0014),tensor(0.0004)
5,FCNN,15000,400.0,80.0,16.0,0.01,0.9508,0.16034807,0.997289287499094,tensor(0.0009),tensor(0.0008)
6,FCNN,60000,100.0,20.0,4.0,0.01,0.978,0.032228306,0.9996296902674408,tensor(0.0002),tensor(0.0014)
7,FCNN,120000,50.0,10.0,2.0,0.01,0.98,0.16526464,0.9994865171488279,tensor(-0.0010),tensor(0.0019)
8,FCNN,3750,1600.0,320.0,64.0,0.1,0.8963,0.13291685,0.9905840325590469,tensor(0.0018),tensor(0.0004)
9,FCNN,15000,400.0,80.0,16.0,0.1,0.9523,0.20097587,0.9975970506270873,tensor(0.0014),tensor(0.0008)
10,FCNN,60000,100.0,20.0,4.0,0.1,0.9797,0.035495,0.9996175691046446,tensor(0.0003),tensor(0.0014)
11,FCNN,120000,50.0,10.0,2.0,0.1,0.9745,0.11087157,0.9994247965669855,tensor(-0.0025),tensor(0.0026)
12,FCNN,3750,1600.0,320.0,64.0,1.0,0.8958,0.13143861,0.9913863842554862,tensor(0.0022),tensor(0.0007)
13,FCNN,15000,400.0,80.0,16.0,1.0,0.9471,0.18219163,0.9976023551696283,tensor(0.0016),tensor(0.0008)
14,FCNN,60000,100.0,20.0,4.0,1.0,0.9794,0.03170274,0.9996385794872037,tensor(0.0004),tensor(0.0014)
15,FCNN,120000,50.0,10.0,2.0,1.0,0.9773,0.12728952,0.999508158705391,tensor(-0.0023),tensor(0.0024)
16,CNN,3750,1600.0,320.0,64.0,0.001,0.9503,0.0776464,0.997972924015988,tensor(0.0058),tensor(0.0072)
17,CNN,15000,400.0,80.0,16.0,0.001,0.9659,0.31827605,0.9985025388552641,tensor(0.0019),tensor(0.0143)
18,CNN,60000,100.0,20.0,4.0,0.001,0.1135,0.0023604855,0.5,tensor(-1.0583e-06),tensor(1.5790e-05)
19,CNN,120000,50.0,10.0,2.0,0.001,0.1135,0.0017628893,0.5,tensor(-9.4049e-07),tensor(2.6996e-05)
20,CNN,3750,1600.0,320.0,64.0,0.01,0.1135,0.0043795183,0.5605774634629802,tensor(4.8261e-05),tensor(2.4261e-05)
21,CNN,15000,400.0,80.0,16.0,0.01,0.1135,0.0063694566,0.49708483620735733,tensor(-8.3996e-06),tensor(1.3039e-05)
22,CNN,60000,100.0,20.0,4.0,0.01,0.1135,0.00032979995,0.5,tensor(2.5512e-06),tensor(1.7300e-05)
23,CNN,120000,50.0,10.0,2.0,0.01,0.1135,0.0055889413,0.5,tensor(6.3936e-07),tensor(2.4161e-05)
24,CNN,3750,1600.0,320.0,64.0,0.1,0.9463,0.3610187,0.9971025727320753,tensor(0.0046),tensor(0.0046)
25,CNN,15000,400.0,80.0,16.0,0.1,0.9356,0.62587607,0.9969855634966013,tensor(0.0013),tensor(0.0051)
26,CNN,60000,100.0,20.0,4.0,0.1,0.1135,0.0021586642,0.4951515703942686,tensor(-4.7591e-05),tensor(0.0001)
27,CNN,120000,50.0,10.0,2.0,0.1,0.1135,0.0016862676,0.5,tensor(-1.9456e-06),tensor(2.6501e-05)
28,CNN,3750,1600.0,320.0,64.0,1.0,0.9508,0.10027905,0.997752780580585,tensor(0.0059),tensor(0.0074)
29,CNN,15000,400.0,80.0,16.0,1.0,0.9584,0.47299036,0.9983041154433675,tensor(0.0018),tensor(0.0081)
30,CNN,60000,100.0,20.0,4.0,1.0,0.9741,0.6213786,0.9994651126038656,tensor(0.0011),tensor(0.0072)
31,CNN,120000,50.0,10.0,2.0,1.0,0.3203,0.18457825,0.8659224563529057,tensor(-0.0001),tensor(0.0003)
