,Network,Sample Size,Epochs,Burn in,sample interval,Temperature,Test Accuracy,Test ECE,Test AUROC,Posterior mean,Posterior var
0,FCNN,3750,1600.0,320.0,64.0,0.001,0.9029,0.09259471,0.990666041860802,tensor(0.0005),tensor(0.1261)
1,FCNN,15000,400.0,80.0,16.0,0.001,0.7052,0.28979176,0.9557640457515533,tensor(-0.0827),tensor(0.2744)
2,FCNN,60000,100.0,20.0,4.0,0.001,0.9135,0.0359659,0.992577034925074,tensor(-0.0925),tensor(0.2923)
3,FCNN,120000,50.0,10.0,2.0,0.001,0.5556,0.17439352,0.9332924012427981,tensor(-0.1076),tensor(0.3518)
4,FCNN,3750,1600.0,320.0,64.0,0.01,0.5193,0.06841683,0.8920092232990253,tensor(-0.1102),tensor(0.3729)
5,FCNN,15000,400.0,80.0,16.0,0.01,0.7892,0.2990132,0.9661397558466082,tensor(-0.1100),tensor(0.3834)
6,FCNN,60000,100.0,20.0,4.0,0.01,0.9109,0.124503694,0.9897242629166294,tensor(-0.1111),tensor(0.3994)
7,FCNN,120000,50.0,10.0,2.0,0.01,0.5517,0.28189746,0.8876794052637047,tensor(-0.1522),tensor(1.4720)
8,FCNN,3750,1600.0,320.0,64.0,0.1,0.6567,0.06489412,0.916204679692668,tensor(-0.1529),tensor(1.4556)
9,FCNN,15000,400.0,80.0,16.0,0.1,0.775,0.16058025,0.9541852213976156,tensor(-0.1531),tensor(1.4355)
10,FCNN,60000,100.0,20.0,4.0,0.1,0.9097,0.036236323,0.9915823109489776,tensor(-0.1530),tensor(1.4155)
11,FCNN,120000,50.0,10.0,2.0,0.1,0.293,0.11398678,0.7804730200948071,tensor(-0.1735),tensor(1.4816)
12,FCNN,3750,1600.0,320.0,64.0,1.0,0.21,0.015186263,0.7354751547617512,tensor(-0.1735),tensor(1.4834)
13,FCNN,15000,400.0,80.0,16.0,1.0,0.6478,0.27656215,0.9321536563135991,tensor(-0.1734),tensor(1.4703)
14,FCNN,60000,100.0,20.0,4.0,1.0,0.8833,0.22468315,0.9844876574433027,tensor(-0.1756),tensor(1.4640)
15,FCNN,120000,50.0,10.0,2.0,1.0,0.1134,0.0003984725,0.49990004272863964,tensor(-0.2638),tensor(15.5859)
16,CNN,3750,1600.0,320.0,64.0,0.001,0.9236,0.062512934,0.9954929660633163,tensor(-2.3259e-05),tensor(0.3916)
17,CNN,15000,400.0,80.0,16.0,0.001,0.9462,0.13813974,0.9970602658654361,tensor(-0.0134),tensor(0.3995)
18,CNN,60000,100.0,20.0,4.0,0.001,0.1135,3.6381185e-05,0.5,tensor(-0.1545),tensor(2.2470)
19,CNN,120000,50.0,10.0,2.0,0.001,0.1135,0.0004497543,0.5,tensor(-0.1543),tensor(1.1534)
20,CNN,3750,1600.0,320.0,64.0,0.01,0.0958,0.009547561,0.5,tensor(-0.1541),tensor(0.5078)
21,CNN,15000,400.0,80.0,16.0,0.01,0.1135,0.0013702959,0.5,tensor(-0.1541),tensor(0.4043)
22,CNN,60000,100.0,20.0,4.0,0.01,0.1135,0.0016724095,0.5,tensor(-0.1541),tensor(0.4006)
23,CNN,120000,50.0,10.0,2.0,0.01,0.1135,0.0025494844,0.5,tensor(-0.1541),tensor(0.4008)
24,CNN,3750,1600.0,320.0,64.0,0.1,0.1135,0.00477916,0.5,tensor(-0.1541),tensor(0.4002)
25,CNN,15000,400.0,80.0,16.0,0.1,0.1135,0.0021290854,0.5,tensor(-0.1536),tensor(0.4003)
26,CNN,60000,100.0,20.0,4.0,0.1,0.1135,0.0007486567,0.5,tensor(-0.1540),tensor(0.4005)
27,CNN,120000,50.0,10.0,2.0,0.1,0.1135,0.0025838092,0.5,tensor(-0.1540),tensor(0.4008)
28,CNN,3750,1600.0,320.0,64.0,1.0,0.1135,0.0038240477,0.5,tensor(-0.1535),tensor(0.4039)
29,CNN,15000,400.0,80.0,16.0,1.0,0.1135,0.004114099,0.5,tensor(-0.1545),tensor(0.4019)
30,CNN,60000,100.0,20.0,4.0,1.0,0.1135,0.0010626465,0.5,tensor(-0.1541),tensor(0.4012)
31,CNN,120000,50.0,10.0,2.0,1.0,0.1135,0.0016948953,0.5,tensor(-0.1542),tensor(0.4012)
