,Network,Sample Size,Epochs,Burn in,sample interval,Temperature,Test Accuracy,Test ECE,Test AUROC,Posterior mean,Posterior var
0,FCNN,3750,1600.0,320.0,64.0,0.001,0.8905,0.14328298,0.9900158496695811,tensor(0.0022),tensor(0.0004)
1,FCNN,15000,400.0,80.0,16.0,0.001,0.9477,0.18750544,0.9969955959315586,tensor(0.0016),tensor(0.0007)
2,FCNN,60000,100.0,20.0,4.0,0.001,0.9778,0.04298536,0.9995853965979367,tensor(0.0003),tensor(0.0013)
3,FCNN,120000,50.0,10.0,2.0,0.001,0.965,0.1276275,0.9985556028123316,tensor(-0.0254),tensor(1.9289)
4,FCNN,3750,1600.0,320.0,64.0,0.01,0.8923,0.14275782,0.9893344107159141,tensor(-0.0134),tensor(1.7072)
5,FCNN,15000,400.0,80.0,16.0,0.01,0.9488,0.11850566,0.9975041974179637,tensor(-0.0116),tensor(1.5855)
6,FCNN,60000,100.0,20.0,4.0,0.01,0.9791,0.039033193,0.999618794124378,tensor(-0.0116),tensor(1.4935)
7,FCNN,120000,50.0,10.0,2.0,0.01,0.7828,0.57018405,0.9797425777949156,tensor(-7600098.5000),tensor(8.9126e+18)
8,FCNN,3750,1600.0,320.0,64.0,0.1,0.1009,0.0063988864,0.5,tensor(-19824130.),tensor(2.2302e+19)
9,FCNN,15000,400.0,80.0,16.0,0.1,0.1135,0.0013705045,0.5,tensor(-20269342.),tensor(2.2305e+19)
10,FCNN,60000,100.0,20.0,4.0,0.1,0.1135,0.0018855706,0.5,tensor(-20280936.),tensor(2.2305e+19)
11,FCNN,120000,50.0,10.0,2.0,0.1,0.1135,0.0025345683,0.5,tensor(-20281630.),tensor(2.2305e+19)
12,FCNN,3750,1600.0,320.0,64.0,1.0,0.1135,0.0013968125,0.5,tensor(-20736470.),tensor(2.2323e+19)
13,FCNN,15000,400.0,80.0,16.0,1.0,0.1135,0.003946729,0.5,tensor(-20736470.),tensor(2.2323e+19)
14,FCNN,60000,100.0,20.0,4.0,1.0,0.1135,0.0007763207,0.5,tensor(-20736470.),tensor(2.2323e+19)
15,FCNN,120000,50.0,10.0,2.0,1.0,0.1135,0.0035581663,0.5,tensor(-20736470.),tensor(2.2323e+19)
16,CNN,3750,1600.0,320.0,64.0,0.001,0.9428,0.117778614,0.9969166546673401,tensor(0.0041),tensor(0.0070)
17,CNN,15000,400.0,80.0,16.0,0.001,0.1135,0.001394324,0.5019870869981697,tensor(-1.2405e-07),tensor(1.6379e-05)
18,CNN,60000,100.0,20.0,4.0,0.001,0.1135,0.0020533055,0.5,tensor(-1.5171e-07),tensor(1.6150e-05)
19,CNN,120000,50.0,10.0,2.0,0.001,0.1135,0.001320824,0.5,tensor(-2.6552e-07),tensor(3.0117e-05)
20,CNN,3750,1600.0,320.0,64.0,0.01,0.1028,0.007426113,0.5248227529126925,tensor(9.6720e-06),tensor(1.3594e-05)
21,CNN,15000,400.0,80.0,16.0,0.01,0.1135,0.0035255253,0.48500614230769423,tensor(-6.2288e-06),tensor(1.5514e-05)
22,CNN,60000,100.0,20.0,4.0,0.01,0.1135,0.0018054545,0.5,tensor(-2.2748e-06),tensor(1.6660e-05)
23,CNN,120000,50.0,10.0,2.0,0.01,0.1135,0.00022138655,0.5,tensor(3.7733e-07),tensor(2.8342e-05)
24,CNN,3750,1600.0,320.0,64.0,0.1,0.1135,0.0017950684,0.7081905241968981,tensor(2.1427e-05),tensor(3.7331e-05)
25,CNN,15000,400.0,80.0,16.0,0.1,0.9547,0.4526331,0.9985136453311203,tensor(0.0017),tensor(0.0098)
26,CNN,60000,100.0,20.0,4.0,0.1,0.1135,0.001519613,0.508930026507837,tensor(6.9512e-06),tensor(1.7274e-05)
27,CNN,120000,50.0,10.0,2.0,0.1,0.1135,0.00027326494,0.50054570195212,tensor(-2.1542e-06),tensor(2.9808e-05)
28,CNN,3750,1600.0,320.0,64.0,1.0,0.9438,0.09812045,0.9978035554463439,tensor(0.0057),tensor(0.0072)
29,CNN,15000,400.0,80.0,16.0,1.0,0.9506,0.45108265,0.9979908393451705,tensor(0.0011),tensor(0.0125)
30,CNN,60000,100.0,20.0,4.0,1.0,0.9813,0.032779735,0.9997382599048666,tensor(-0.0001),tensor(0.0275)
31,CNN,120000,50.0,10.0,2.0,1.0,0.1135,0.0018581897,0.6252050590092871,tensor(-0.0057),tensor(0.0823)
